"","season","tm","avg_fg_percent","avg_x3p_percent","avg_ft_percent","avg_trb_per_game","avg_ast_per_game","avg_stl_per_game","avg_blk_per_game","avg_tov_per_game","avg_pts_per_game"
"1",1996,"ATL",0.458142857142857,0.243571428571429,0.73,5.71428571428571,2.58571428571429,1.18571428571429,0.614285714285714,1.94285714285714,13.6571428571429
"2",1996,"BOS",0.468142857142857,0.33,0.708428571428571,4.45714285714286,3.08571428571429,0.842857142857143,0.4,1.95714285714286,12.3857142857143
"3",1996,"CHH",0.474,0.374142857142857,0.773285714285714,5.38571428571429,3.92857142857143,1.14285714285714,0.471428571428571,2.18571428571429,15.5857142857143
"4",1996,"CHI",0.483285714285714,0.349833333333333,0.746285714285714,5.85714285714286,3.28571428571429,1.11428571428571,0.528571428571429,1.7,13.3285714285714
"5",1996,"CLE",0.476,0.325166666666667,0.730428571428571,4.9,2.71428571428571,1.08571428571429,0.557142857142857,1.42857142857143,12.3857142857143
"6",1996,"DAL",0.411428571428571,0.305285714285714,0.679857142857143,6.07142857142857,3.25714285714286,1.01428571428571,0.542857142857143,2.2,14.9142857142857
"7",1996,"DEN",0.461571428571429,0.222714285714286,0.743285714285714,5.85714285714286,3.1,0.842857142857143,1.08571428571429,1.97142857142857,13.2285714285714
"8",1996,"DET",0.447857142857143,0.318,0.754857142857143,4.67142857142857,2.85714285714286,0.771428571428571,0.242857142857143,1.81428571428571,12.6714285714286
"9",1996,"GSW",0.458428571428571,0.404142857142857,0.778571428571429,5.25714285714286,3.18571428571429,1.04285714285714,0.685714285714286,2.24285714285714,13.9
"10",1996,"HOU",0.466142857142857,0.301142857142857,0.786,5.57142857142857,3.52857142857143,1.2,0.857142857142857,2.02857142857143,14.7428571428571
"11",1996,"IND",0.492571428571429,0.3545,0.747714285714286,5.04285714285714,2.72857142857143,0.785714285714286,0.557142857142857,1.88571428571429,12.8714285714286
"12",1996,"LAC",0.473714285714286,0.329285714285714,0.742285714285714,4.6,2.9,1.11428571428571,0.428571428571429,2.01428571428571,12.7571428571429
"13",1996,"LAL",0.481857142857143,0.279857142857143,0.751571428571429,5.2,3.7,1.08571428571429,0.828571428571429,1.97142857142857,14.2857142857143
"14",1996,"MIA",0.459428571428571,0.262,0.736142857142857,5.55714285714286,3.94285714285714,1.01428571428571,0.657142857142857,2.6,15.0857142857143
"15",1996,"MIL",0.441142857142857,0.272857142857143,0.754,4.37142857142857,2.78571428571429,0.842857142857143,0.385714285714286,1.9,12.5142857142857
"16",1996,"MIN",0.466428571428571,0.302714285714286,0.788571428571429,5.58571428571429,2.45714285714286,0.928571428571429,0.957142857142857,2.04285714285714,13.3142857142857
"17",1996,"NJN",0.422571428571429,0.277857142857143,0.790857142857143,5.2,3.55714285714286,1.31428571428571,0.914285714285714,2.11428571428571,14.1857142857143
"18",1996,"NYK",0.468714285714286,0.292333333333333,0.771571428571429,5.65714285714286,2.77142857142857,0.928571428571429,0.657142857142857,2,13.3142857142857
"19",1996,"ORL",0.476428571428571,0.345,0.694142857142857,5.82857142857143,3.51428571428571,1.07142857142857,0.8,1.84285714285714,14.7857142857143
"20",1996,"PHI",0.428,0.198333333333333,0.743714285714286,5.7,2.81428571428571,0.928571428571429,1.05714285714286,2.35714285714286,12.3
"21",1996,"PHO",0.474857142857143,0.261857142857143,0.764,5.87142857142857,3.14285714285714,1.02857142857143,0.6,1.87142857142857,13.9714285714286
"22",1996,"POR",0.472857142857143,0.342857142857143,0.651428571428571,5.94285714285714,2.7,0.914285714285714,0.728571428571429,1.92857142857143,12.3857142857143
"23",1996,"SAC",0.479,0.447285714285714,0.680571428571429,5.5,2.87142857142857,0.928571428571429,0.657142857142857,2.11428571428571,12.9285714285714
"24",1996,"SAS",0.472428571428571,0.288,0.747428571428571,5.48571428571429,3.12857142857143,1.02857142857143,0.8,1.78571428571429,14.2285714285714
"25",1996,"SEA",0.475,0.372714285714286,0.772,5.12857142857143,3.47142857142857,1.45714285714286,0.457142857142857,2.18571428571429,13.8285714285714
"26",1996,"TOR",0.437428571428571,0.232333333333333,0.782833333333333,5.47142857142857,3.05714285714286,1.24285714285714,1,1.98571428571429,11.7714285714286
"27",1996,"TOT",0.447428571428571,0.301,0.770571428571429,4.88571428571429,4.84285714285714,1.18571428571429,0.642857142857143,2.38571428571429,13.7857142857143
"28",1996,"UTA",0.487428571428571,0.277285714285714,0.782714285714286,4.47142857142857,3.34285714285714,1.02857142857143,0.471428571428571,1.57142857142857,12.5285714285714
"29",1996,"VAN",0.419428571428571,0.269666666666667,0.760142857142857,4.32857142857143,2.47142857142857,1,0.5,1.84285714285714,11.2428571428571
"30",1996,"WSB",0.496285714285714,0.306142857142857,0.719714285714286,5.78571428571429,3.78571428571429,1.12857142857143,0.642857142857143,2.55714285714286,16.2285714285714
"31",1997,"ATL",0.446714285714286,0.373833333333333,0.804142857142857,5.18571428571429,2.52857142857143,1.05714285714286,0.7,1.77142857142857,12.9714285714286
"32",1997,"BOS",0.439714285714286,0.296,0.757428571428571,5.27142857142857,3.25714285714286,1.42857142857143,0.614285714285714,2.27142857142857,15.1
"33",1997,"CHH",0.486571428571429,0.388,0.790285714285714,5.35714285714286,3.27142857142857,0.9,0.557142857142857,1.78571428571429,14.1857142857143
"34",1997,"CHI",0.472,0.308857142857143,0.739571428571429,6.11428571428571,3.51428571428571,1.08571428571429,0.485714285714286,1.61428571428571,13.1714285714286
"35",1997,"CLE",0.459857142857143,0.340285714285714,0.756571428571429,4.88571428571429,2.92857142857143,1.07142857142857,0.4,1.78571428571429,12
